day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
5,Low,F,TRUE,5,5,slide ,118,line,
5,High,A,FALSE,mix,8,slide ,,line,
5,High,B,FALSE,mix,12,slide ,,line,
5,High,C,FALSE,mix,10,slide ,,line,
5,High,D,TRUE,mix,11,slide ,88,line,
5,High,E,TRUE,mix,7,slide ,63,line,
5,High,F,TRUE,mix,5,slide ,66,line,
6,Low,A,FALSE,1,21,slide ,,line,start time ~ 5:54pm
6,Low,A,FALSE,2,22,slide ,,line,end time~ 7:11pm
6,Low,A,FALSE,3,16,slide ,,line,
6,Low,A,FALSE,4,18,slide ,,line,
6,Low,A,FALSE,5,13,slide ,,line,
6,Low,B,FALSE,1,22,slide ,,line,
6,Low,B,FALSE,2,10,slide ,,line,
6,Low,B,FALSE,3,23,slide ,,line,
6,Low,B,FALSE,4,17,slide ,,line,
6,Low,B,FALSE,5,9,slide ,,line,
6,Low,C,FALSE,1,36,slide ,,line,
6,Low,C,FALSE,2,10,slide ,,line,
6,Low,C,FALSE,3,22,slide ,,line,
6,Low,C,FALSE,4,21,slide ,,line,
6,Low,C,FALSE,5,19,slide ,,line,
6,Low,D,TRUE,1,13,slide ,75,line,
6,Low,D,TRUE,2,4,slide ,98,line,
6,Low,D,TRUE,3,4,slide ,171,line,
6,Low,D,TRUE,4,7,slide ,83,line,
6,Low,D,TRUE,5,5,slide ,136,line,
6,Low,E,TRUE,1,16,slide ,78,line,
6,Low,E,TRUE,2,9,slide ,65,line,
6,Low,E,TRUE,3,4,slide ,49,line,
6,Low,E,TRUE,4,9,slide ,153,line,
6,Low,E,TRUE,5,8,slide ,93,line,
6,Low,F,TRUE,1,12,slide ,74,line,
6,Low,F,TRUE,2,10,slide ,91,line,
6,Low,F,TRUE,3,11,slide ,91,line,
6,Low,F,TRUE,4,11,slide ,113,line,
6,Low,F,TRUE,5,1,slide ,105,line,
6,High,A,FALSE,mix,17,slide ,,line,
6,High,B,FALSE,mix,12,slide ,,line,
6,High,C,FALSE,mix,17,slide ,,line,
6,High,D,TRUE,mix,7,slide ,90,line,
6,High,E,TRUE,mix,12,slide ,92,line,
6,High,F,TRUE,mix,7,slide,106,line,
8,Low,A,FALSE,1,40,slide,,line,start time ~ 5:50pm
8,Low,A,FALSE,2,35,slide,,line,end time~ 7:30pm
8,Low,A,FALSE,3,39,slide,,line,
8,Low,A,FALSE,4,37,slide,,line,
8,Low,A,FALSE,5,23,slide,,line,
8,Low,B,FALSE,1,51,slide,,line,
8,Low,B,FALSE,2,36,slide,,line,
8,Low,B,FALSE,3,16,slide,,line,
8,Low,B,FALSE,4,22,slide,,line,
8,Low,B,FALSE,5,38,slide,,line,
8,Low,C,FALSE,1,35,slide,,line,
8,Low,C,FALSE,2,47,slide,,line,
8,Low,C,FALSE,3,35,slide,,line,
8,Low,C,FALSE,4,19,slide,,line,
8,Low,C,FALSE,5,20,slide,,line,
8,Low,D,TRUE,1,29,slide,84,line,
8,Low,D,TRUE,2,15,slide,71,line,
8,Low,D,TRUE,3,23,slide,80,line,
8,Low,D,TRUE,4,16,slide,46,line,
8,Low,D,TRUE,5,13,slide,69,line,
8,Low,E,TRUE,1,21,slide,46,line,
8,Low,E,TRUE,2,21,slide,68,line,
8,Low,E,TRUE,3,7,slide,20,line,
8,Low,E,TRUE,4,22,slide,43,line,
8,Low,E,TRUE,5,15,slide,25,line,
8,Low,F,TRUE,1,23,slide,55,line,
8,Low,F,TRUE,2,21,slide,53,line,
8,Low,F,TRUE,3,12,slide,48,line,
8,Low,F,TRUE,4,12,slide,58,line,
8,Low,F,TRUE,5,19,slide,78,line,
8,High,A,FALSE,mix,27,slide,,line,
8,High,B,FALSE,mix,41,slide,,line,
8,High,C,FALSE,mix,7,slide,,line,
8,High,D,TRUE,mix,19,slide,42,line,
8,High,E,TRUE,mix,19,slide,53,line,
8,High,F,TRUE,mix,4,slide,47,line,
10,Low,A,FALSE,1,55,slide,,line,
10,Low,A,FALSE,2,29,slide,,line,
10,Low,A,FALSE,3,26,slide,,line,
10,Low,A,FALSE,4,29,slide,,line,
10,Low,A,FALSE,5,37,slide,,line,
10,Low,B,FALSE,1,43,slide,,line,
10,Low,B,FALSE,2,25,slide,,line,
10,Low,B,FALSE,3,44,slide,,line,
10,Low,B,FALSE,4,38,slide,,line,
10,Low,B,FALSE,5,42,slide,,line,
10,Low,C,FALSE,1,37,slide,,line,
10,Low,C,FALSE,2,27,slide,,line,
10,Low,C,FALSE,3,32,slide,,line,
10,Low,C,FALSE,4,46,slide,,line,
10,Low,C,FALSE,5,35,slide,,line,
10,Low,D,TRUE,1,30,slide,77,line,
10,Low,D,TRUE,2,19,slide,137,line,
10,Low,D,TRUE,3,29,slide,99,line,
10,Low,D,TRUE,4,16,slide,128,line,
